provider,job_id,n,observable,ideal,expectation_value,std,absolute_error,observable_type
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,XXXXXXXXXXXXXXXXXXXX,1.0,0.652,0.758218965734833,0.348,Global X
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z0Z1,1.0,0.9716,0.2366293303882677,0.0283999999999999,Neighbor ZZ
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z1Z2,1.0,0.9386,0.3450073042705039,0.0614,Neighbor ZZ
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z2Z3,1.0,0.9622,0.2723438268072179,0.0377999999999999,Neighbor ZZ
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z3Z4,1.0,0.9598,0.280684805431288,0.0402,Neighbor ZZ
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z4Z5,1.0,0.9726,0.2324849242424119,0.0273999999999999,Neighbor ZZ
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z5Z6,1.0,0.965,0.2622498808388672,0.035,Neighbor ZZ
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z6Z7,1.0,0.9684,0.2494021651870727,0.0315999999999999,Neighbor ZZ
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z7Z8,1.0,0.9608,0.2772424209964991,0.0392,Neighbor ZZ
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z8Z9,1.0,0.9656,0.2600319980310115,0.0343999999999999,Neighbor ZZ
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z9Z10,1.0,0.954,0.2998066043301916,0.046,Neighbor ZZ
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z10Z11,1.0,0.952,0.306098023515344,0.048,Neighbor ZZ
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z11Z12,1.0,0.9206,0.3905069013474666,0.0794,Neighbor ZZ
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z12Z13,1.0,0.966,0.2585420662097369,0.034,Neighbor ZZ
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z13Z14,1.0,0.9742,0.2256864196180179,0.0258,Neighbor ZZ
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z14Z15,1.0,0.9742,0.2256864196180179,0.0258,Neighbor ZZ
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z15Z16,1.0,0.9712,0.2382657340030247,0.0288,Neighbor ZZ
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z16Z17,1.0,0.9578,0.2874354884143571,0.0422,Neighbor ZZ
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z17Z18,1.0,0.9646,0.2637173486898425,0.0353999999999999,Neighbor ZZ
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z18Z19,1.0,0.991,0.1338618691039387,0.009,Neighbor ZZ
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,XXXXXXXXXXXXXXXXXXXX,1.0,0.8678389271236773,0.0822084797035729,0.1321610728763227,Global X
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z0Z1,1.0,1.0211605719067174,0.0013716365583762,0.0211605719067173,Neighbor ZZ
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z1Z2,1.0,1.012560640787562,0.0098035397459744,0.012560640787562,Neighbor ZZ
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z2Z3,1.0,1.0122249673264283,0.0118975594562952,0.0122249673264283,Neighbor ZZ
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z3Z4,1.0,1.000715488550099,0.0135873839713207,0.000715488550099,Neighbor ZZ
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z4Z5,1.0,0.9931604309338684,0.0181517199674722,0.0068395690661315,Neighbor ZZ
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z5Z6,1.0,0.9792696306183032,0.0204912948028188,0.0207303693816967,Neighbor ZZ
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z6Z7,1.0,0.9812147653723742,0.0206039231803419,0.0187852346276258,Neighbor ZZ
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z7Z8,1.0,0.9985137398217347,0.022163336950158,0.0014862601782652,Neighbor ZZ
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z8Z9,1.0,0.9911013124027848,0.0277554599319624,0.0088986875972152,Neighbor ZZ
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z9Z10,1.0,0.9774289644777576,0.0219068468072477,0.0225710355222424,Neighbor ZZ
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z10Z11,1.0,0.996961515820432,0.0135562811864424,0.003038484179568,Neighbor ZZ
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z11Z12,1.0,1.001438027494717,0.0136708206994351,0.0014380274947169,Neighbor ZZ
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z12Z13,1.0,1.031655046467428,0.0122539605735784,0.0316550464674281,Neighbor ZZ
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z13Z14,1.0,0.9858570238493028,0.0166861512287105,0.0141429761506972,Neighbor ZZ
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z14Z15,1.0,1.009412923120093,0.027910395556321,0.009412923120093,Neighbor ZZ
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z15Z16,1.0,1.013595681016357,0.0138099592722293,0.0135956810163571,Neighbor ZZ
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z16Z17,1.0,0.9862513976459918,0.0206901689263421,0.0137486023540082,Neighbor ZZ
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z17Z18,1.0,0.9879186479301618,0.0167672483006084,0.0120813520698381,Neighbor ZZ
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z18Z19,1.0,1.012983602226573,0.0121569366763155,0.012983602226573,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1.0,0.1644804167829565,0.019757014842246,0.8355195832170434,Global X
IBM default,d8r53deab0ds73dr8phg,40,Z0Z1,1.0,0.6838383838383838,0.0120450459182447,0.3161616161616162,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z1Z2,1.0,0.9443960691628313,0.006276136314134,0.0556039308371687,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z2Z3,1.0,0.9519666935934878,0.0070003106152207,0.0480333064065121,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z3Z4,1.0,0.9513485611046588,0.0092326817586035,0.0486514388953412,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z4Z5,1.0,0.9779269394604364,0.0073712692639267,0.0220730605395637,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z5Z6,1.0,0.9387780783992952,0.006737002123649,0.0612219216007047,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z6Z7,1.0,0.9531122159984896,0.0064702021149737,0.0468877840015105,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z7Z8,1.0,0.946525060555245,0.004385257456803,0.053474939444755,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z8Z9,1.0,0.9575155279503106,0.0042600386240292,0.0424844720496894,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z9Z10,1.0,0.9558905639307648,0.0054056153015655,0.0441094360692351,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z10Z11,1.0,0.9712444224095192,0.0041211831671438,0.0287555775904808,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z11Z12,1.0,0.958054107719037,0.0065608965480207,0.041945892280963,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z12Z13,1.0,0.9684577982795164,0.0046737385158395,0.0315422017204837,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z13Z14,1.0,0.96436581111388,0.0054308415860634,0.0356341888861201,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z14Z15,1.0,0.9542832330500588,0.0060050197380159,0.045716766949941,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z15Z16,1.0,0.9498602050326188,0.0045148603848868,0.0501397949673811,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z16Z17,1.0,0.968507360705634,0.0053256731588389,0.031492639294366,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z17Z18,1.0,0.9508135865866484,0.0049015671019329,0.0491864134133515,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z18Z19,1.0,0.9648092027954728,0.0047709546142787,0.0351907972045272,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z19Z20,1.0,0.936546484837163,0.0066165716639522,0.063453515162837,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z20Z21,1.0,0.94671592260973,0.0057894606940802,0.0532840773902698,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z21Z22,1.0,0.9598205942814428,0.0054040794767768,0.0401794057185572,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z22Z23,1.0,0.9620661824051656,0.0055294585406264,0.0379338175948344,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z23Z24,1.0,0.980458263095461,0.0042577951921152,0.0195417369045389,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z24Z25,1.0,0.9853591676531056,0.0038757463374855,0.0146408323468942,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z25Z26,1.0,0.9652109548482606,0.0047328764007859,0.0347890451517394,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z26Z27,1.0,0.9706118913568026,0.0039503682095934,0.0293881086431974,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z27Z28,1.0,0.9755366949575636,0.0041521771561313,0.0244633050424363,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z28Z29,1.0,0.977359673878959,0.0050662892916806,0.022640326121041,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z29Z30,1.0,0.9705147426286856,0.0058780719166037,0.0294852573713143,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z30Z31,1.0,0.9945219123505976,0.0024708335254932,0.0054780876494023,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z31Z32,1.0,0.9689734502269476,0.0050696614496115,0.0310265497730523,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z32Z33,1.0,0.9750527491622192,0.0044259819708477,0.0249472508377808,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z33Z34,1.0,0.9733011212290156,0.0042929421754868,0.0266988787709843,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z34Z35,1.0,0.9787444389520514,0.0047018537586281,0.0212555610479485,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z35Z36,1.0,0.9666790536355754,0.0053918144053912,0.0333209463644246,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z36Z37,1.0,0.9841941505911636,0.0038617512203359,0.0158058494088363,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z37Z38,1.0,0.9894045479893426,0.0033333109791592,0.0105954520106573,Neighbor ZZ
IBM default,d8r53deab0ds73dr8phg,40,Z38Z39,1.0,0.99401271526449,0.0033318730891458,0.0059872847355101,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1.0,0.3164,0.9486258693499772,0.6836,Global X
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z0Z1,1.0,0.9076,0.4198359679684436,0.0924,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z1Z2,1.0,0.8878,0.4602294645065653,0.1121999999999999,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z2Z3,1.0,0.9442,0.3293726764623925,0.0557999999999999,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z3Z4,1.0,0.938,0.3466352549871408,0.062,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z4Z5,1.0,0.9556,0.2946669984915175,0.0443999999999999,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z5Z6,1.0,0.9334,0.3588376234454798,0.0665999999999999,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z6Z7,1.0,0.9516,0.3073392913377656,0.0484,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z7Z8,1.0,0.946,0.3241666238217625,0.054,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z8Z9,1.0,0.9568,0.2907469002414299,0.0432,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z9Z10,1.0,0.9476,0.319459293181463,0.0524,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z10Z11,1.0,0.9556,0.2946669984915175,0.0443999999999999,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z11Z12,1.0,0.947,0.3212335598906193,0.053,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z12Z13,1.0,0.9428,0.3333589056857489,0.0572,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z13Z14,1.0,0.9344,0.3562255465291618,0.0655999999999999,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z14Z15,1.0,0.9374,0.3482545620663137,0.0625999999999999,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z15Z16,1.0,0.9002,0.43547670431379,0.0998,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z16Z17,1.0,0.9276,0.3735749456267109,0.0724,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z17Z18,1.0,0.959,0.2834060690952119,0.041,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z18Z19,1.0,0.9684,0.2494021651870727,0.0315999999999999,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z19Z20,1.0,0.9296,0.3685699933526874,0.0704,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z20Z21,1.0,0.9206,0.3905069013474666,0.0794,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z21Z22,1.0,0.959,0.2834060690952119,0.041,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z22Z23,1.0,0.963,0.2695013914620852,0.037,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z23Z24,1.0,0.957,0.2900879177077185,0.043,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z24Z25,1.0,0.9758,0.2186649491802468,0.0242,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z25Z26,1.0,0.9694,0.2454865373090751,0.0305999999999999,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z26Z27,1.0,0.9346,0.3557004919872898,0.0654,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z27Z28,1.0,0.9274,0.3740711696990292,0.0726,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z28Z29,1.0,0.9646,0.2637173486898425,0.0353999999999999,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z29Z30,1.0,0.9554,0.2953148150702905,0.0445999999999999,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z30Z31,1.0,0.9586,0.2847561061680679,0.0413999999999999,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z31Z32,1.0,0.9694,0.2454865373090751,0.0305999999999999,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z32Z33,1.0,0.9732,0.2299603444074654,0.0268,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z33Z34,1.0,0.9604,0.2786249091520711,0.0395999999999999,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z34Z35,1.0,0.9688,0.2478438217910626,0.0312,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z35Z36,1.0,0.9604,0.2786249091520711,0.0395999999999999,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z36Z37,1.0,0.9736,0.2282609033540347,0.0263999999999999,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z37Z38,1.0,0.9714,0.2374490261087627,0.0285999999999999,Neighbor ZZ
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z38Z39,1.0,0.9872,0.1594871781680271,0.0128,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1.0,1.1820420909729386,0.2496533416386982,0.1820420909729385,Global X
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z0Z1,1.0,0.9917486756907716,0.0119306082686538,0.0082513243092282,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z1Z2,1.0,1.0049580985939892,0.0119861760685249,0.0049580985939892,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z2Z3,1.0,1.0048659471955006,0.0138575848446016,0.0048659471955005,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z3Z4,1.0,1.002191621631178,0.0154645388476061,0.0021916216311779,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z4Z5,1.0,1.0120365786597585,0.0119528526992142,0.0120365786597582,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z5Z6,1.0,1.0068318800065286,0.0139081888233245,0.0068318800065285,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z6Z7,1.0,1.0073492802872497,0.0137557146138917,0.0073492802872494,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z7Z8,1.0,1.0241524443222023,0.0157787885557664,0.0241524443222025,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z8Z9,1.0,1.0092423378837692,0.0198804954208389,0.0092423378837691,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z9Z10,1.0,1.0280357341633188,0.0243987740663901,0.0280357341633188,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z10Z11,1.0,0.96933100585205,0.0312342720685734,0.0306689941479498,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z11Z12,1.0,0.9853692944653274,0.0180155195426337,0.0146307055346726,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z12Z13,1.0,1.0319851663042026,0.0098818435795877,0.0319851663042025,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z13Z14,1.0,0.963569123790058,0.0311694706848867,0.0364308762099421,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z14Z15,1.0,1.0063472809627314,0.0337659329061596,0.0063472809627314,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z15Z16,1.0,1.0074664345240107,0.0198380238963567,0.0074664345240107,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z16Z17,1.0,1.0305120007577742,0.0188786982265645,0.0305120007577741,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z17Z18,1.0,0.9986064846485126,0.0209735593493772,0.0013935153514873,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z18Z19,1.0,0.9779221891582028,0.0253248995543003,0.0220778108417971,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z19Z20,1.0,1.0155292199177632,0.023853909644406,0.0155292199177632,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z20Z21,1.0,1.026522356956698,0.0099018479001582,0.0265223569566979,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z21Z22,1.0,0.9987426381368292,0.0169023675079442,0.0012573618631707,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z22Z23,1.0,1.0122298508118994,0.0137592919426184,0.0122298508118994,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z23Z24,1.0,1.0033264294122084,0.0235180363448082,0.0033264294122083,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z24Z25,1.0,1.0333896741209423,0.0264489821401279,0.0333896741209425,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z25Z26,1.0,1.0358579100910603,0.033002989679196,0.0358579100910603,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z26Z27,1.0,1.018314966507539,0.029836658273543,0.018314966507539,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z27Z28,1.0,0.9953148761826192,0.021028094870416,0.0046851238173808,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z28Z29,1.0,1.0444728270434251,0.0070381651131478,0.0444728270434251,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z29Z30,1.0,0.9810014200908168,0.0217594568632429,0.0189985799091833,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z30Z31,1.0,0.967087893501658,0.024598434138001,0.032912106498342,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z31Z32,1.0,1.0541766999457234,0.0223755656891094,0.0541766999457233,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z32Z33,1.0,1.001145348135381,0.0300695036173955,0.0011453481353809,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z33Z34,1.0,1.012252383620507,0.0247651994021846,0.012252383620507,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z34Z35,1.0,1.0009183823202972,0.0248291067048778,0.0009183823202971,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z35Z36,1.0,1.012967532729721,0.0213244745169702,0.0129675327297209,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z36Z37,1.0,0.991817349344866,0.0196032621768815,0.0081826506551341,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z37Z38,1.0,1.018646784433956,0.0171673598265811,0.0186467844339559,Neighbor ZZ
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z38Z39,1.0,0.9887660957467268,0.0219650513592977,0.0112339042532733,Neighbor ZZ
IBM default,d8rf4dmab0ds73drk25g,60,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1.0,0.2425253789459046,0.0322616576770898,0.7574746210540955,Global X
