provider,job_id,n,observable,ideal,expectation_value,std,absolute_error
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z5Z6,1.0,0.965,0.2622498808388672,0.03500000000000003
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z6Z7,1.0,0.9684,0.24940216518707278,0.03159999999999996
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z7Z8,1.0,0.9608,0.2772424209964991,0.03920000000000001
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z8Z9,1.0,0.9656,0.26003199803101157,0.034399999999999986
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z9Z10,1.0,0.954,0.29980660433019163,0.04600000000000004
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z10Z11,1.0,0.952,0.30609802351534404,0.04800000000000004
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z11Z12,1.0,0.9206,0.39050690134746663,0.07940000000000003
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z12Z13,1.0,0.966,0.25854206620973696,0.03400000000000003
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z13Z14,1.0,0.9742,0.22568641961801794,0.025800000000000045
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z14Z15,1.0,0.9742,0.22568641961801794,0.025800000000000045
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z15Z16,1.0,0.9712,0.23826573400302473,0.028800000000000048
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z16Z17,1.0,0.9578,0.2874354884143571,0.042200000000000015
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z17Z18,1.0,0.9646,0.26371734868984253,0.03539999999999999
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z18Z19,1.0,0.991,0.1338618691039387,0.009000000000000008
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,XXXXXXXXXXXXXXXXXXXX,1.0,0.8678389271236773,0.08220847970357294,0.13216107287632273
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z0Z1,1.0,1.0211605719067174,0.0013716365583762952,0.021160571906717385
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z1Z2,1.0,1.012560640787562,0.009803539745974433,0.012560640787562027
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z2Z3,1.0,1.0122249673264283,0.011897559456295259,0.012224967326428304
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z3Z4,1.0,1.000715488550099,0.013587383971320715,0.0007154885500990638
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z4Z5,1.0,0.9931604309338684,0.018151719967472297,0.00683956906613159
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z5Z6,1.0,0.9792696306183033,0.020491294802818864,0.0207303693816967
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z6Z7,1.0,0.9812147653723742,0.02060392318034198,0.018785234627625824
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z7Z8,1.0,0.9985137398217347,0.022163336950158045,0.001486260178265253
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z8Z9,1.0,0.9911013124027848,0.02775545993196248,0.008898687597215238
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z9Z10,1.0,0.9774289644777575,0.021906846807247755,0.02257103552224249
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z10Z11,1.0,0.9969615158204319,0.013556281186442412,0.0030384841795680906
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z11Z12,1.0,1.001438027494717,0.013670820699435161,0.001438027494716998
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z12Z13,1.0,1.0316550464674281,0.012253960573578427,0.031655046467428116
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z13Z14,1.0,0.9858570238493027,0.016686151228710575,0.014142976150697262
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z14Z15,1.0,1.009412923120093,0.027910395556321056,0.009412923120093009
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z15Z16,1.0,1.013595681016357,0.013809959272229316,0.013595681016357108
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z16Z17,1.0,0.9862513976459918,0.020690168926342185,0.01374860235400821
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z17Z18,1.0,0.9879186479301618,0.01676724830060848,0.01208135206983818
QESEM,df40092a-7e1c-41ab-9a52-db53914c9c70,20,Z18Z19,1.0,1.012983602226573,0.012156936676315594,0.012983602226573021
IBM default,d8r53deab0ds73dr8phg,40,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1.0,0.16448041678295655,0.01975701484224608,0.8355195832170434
IBM default,d8r53deab0ds73dr8phg,40,Z0Z1,1.0,0.6838383838383838,0.01204504591824474,0.3161616161616162
IBM default,d8r53deab0ds73dr8phg,40,Z1Z2,1.0,0.9443960691628313,0.006276136314134035,0.05560393083716875
IBM default,d8r53deab0ds73dr8phg,40,Z2Z3,1.0,0.9519666935934878,0.0070003106152207294,0.048033306406512155
IBM default,d8r53deab0ds73dr8phg,40,Z3Z4,1.0,0.9513485611046587,0.009232681758603594,0.04865143889534129
IBM default,d8r53deab0ds73dr8phg,40,Z4Z5,1.0,0.9779269394604363,0.007371269263926795,0.022073060539563705
IBM default,d8r53deab0ds73dr8phg,40,Z5Z6,1.0,0.9387780783992953,0.0067370021236490794,0.06122192160070472
IBM default,d8r53deab0ds73dr8phg,40,Z6Z7,1.0,0.9531122159984895,0.006470202114973722,0.0468877840015105
IBM default,d8r53deab0ds73dr8phg,40,Z7Z8,1.0,0.946525060555245,0.004385257456803022,0.05347493944475501
IBM default,d8r53deab0ds73dr8phg,40,Z8Z9,1.0,0.9575155279503106,0.00426003862402929,0.042484472049689415
IBM default,d8r53deab0ds73dr8phg,40,Z9Z10,1.0,0.9558905639307649,0.005405615301565542,0.04410943606923512
IBM default,d8r53deab0ds73dr8phg,40,Z10Z11,1.0,0.9712444224095191,0.0041211831671438435,0.028755577590480863
IBM default,d8r53deab0ds73dr8phg,40,Z11Z12,1.0,0.958054107719037,0.006560896548020771,0.041945892280963015
IBM default,d8r53deab0ds73dr8phg,40,Z12Z13,1.0,0.9684577982795163,0.004673738515839564,0.03154220172048372
IBM default,d8r53deab0ds73dr8phg,40,Z13Z14,1.0,0.9643658111138799,0.005430841586063444,0.03563418888612013
IBM default,d8r53deab0ds73dr8phg,40,Z14Z15,1.0,0.9542832330500589,0.0060050197380159855,0.04571676694994109
IBM default,d8r53deab0ds73dr8phg,40,Z15Z16,1.0,0.9498602050326188,0.00451486038488687,0.05013979496738119
IBM default,d8r53deab0ds73dr8phg,40,Z16Z17,1.0,0.9685073607056339,0.005325673158838971,0.031492639294366076
IBM default,d8r53deab0ds73dr8phg,40,Z17Z18,1.0,0.9508135865866485,0.00490156710193293,0.049186413413351504
IBM default,d8r53deab0ds73dr8phg,40,Z18Z19,1.0,0.9648092027954728,0.004770954614278736,0.035190797204527224
IBM default,d8r53deab0ds73dr8phg,40,Z19Z20,1.0,0.936546484837163,0.006616571663952233,0.06345351516283704
IBM default,d8r53deab0ds73dr8phg,40,Z20Z21,1.0,0.9467159226097301,0.005789460694080241,0.05328407739026986
IBM default,d8r53deab0ds73dr8phg,40,Z21Z22,1.0,0.9598205942814427,0.005404079476776819,0.04017940571855727
IBM default,d8r53deab0ds73dr8phg,40,Z22Z23,1.0,0.9620661824051655,0.005529458540626493,0.037933817594834496
IBM default,d8r53deab0ds73dr8phg,40,Z23Z24,1.0,0.980458263095461,0.004257795192115253,0.019541736904538975
IBM default,d8r53deab0ds73dr8phg,40,Z24Z25,1.0,0.9853591676531057,0.003875746337485579,0.014640832346894284
IBM default,d8r53deab0ds73dr8phg,40,Z25Z26,1.0,0.9652109548482606,0.00473287640078594,0.03478904515173942
IBM default,d8r53deab0ds73dr8phg,40,Z26Z27,1.0,0.9706118913568026,0.003950368209593468,0.029388108643197408
IBM default,d8r53deab0ds73dr8phg,40,Z27Z28,1.0,0.9755366949575637,0.004152177156131391,0.024463305042436323
IBM default,d8r53deab0ds73dr8phg,40,Z28Z29,1.0,0.977359673878959,0.005066289291680697,0.022640326121041054
IBM default,d8r53deab0ds73dr8phg,40,Z29Z30,1.0,0.9705147426286856,0.0058780719166037524,0.029485257371314355
IBM default,d8r53deab0ds73dr8phg,40,Z30Z31,1.0,0.9945219123505976,0.002470833525493231,0.005478087649402386
IBM default,d8r53deab0ds73dr8phg,40,Z31Z32,1.0,0.9689734502269477,0.0050696614496115915,0.031026549773052303
IBM default,d8r53deab0ds73dr8phg,40,Z32Z33,1.0,0.9750527491622192,0.004425981970847727,0.02494725083778082
IBM default,d8r53deab0ds73dr8phg,40,Z33Z34,1.0,0.9733011212290157,0.004292942175486895,0.026698878770984313
IBM default,d8r53deab0ds73dr8phg,40,Z34Z35,1.0,0.9787444389520514,0.004701853758628186,0.021255561047948568
IBM default,d8r53deab0ds73dr8phg,40,Z35Z36,1.0,0.9666790536355754,0.005391814405391249,0.03332094636442462
IBM default,d8r53deab0ds73dr8phg,40,Z36Z37,1.0,0.9841941505911637,0.0038617512203359865,0.015805849408836337
IBM default,d8r53deab0ds73dr8phg,40,Z37Z38,1.0,0.9894045479893426,0.003333310979159258,0.010595452010657369
IBM default,d8r53deab0ds73dr8phg,40,Z38Z39,1.0,0.9940127152644899,0.0033318730891458274,0.005987284735510134
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1.0,0.3164,0.9486258693499772,0.6836
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z0Z1,1.0,0.9076,0.41983596796844364,0.09240000000000004
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z1Z2,1.0,0.8878,0.4602294645065653,0.11219999999999997
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z2Z3,1.0,0.9442,0.3293726764623925,0.05579999999999996
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z3Z4,1.0,0.938,0.3466352549871408,0.062000000000000055
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z4Z5,1.0,0.9556,0.29466699849151756,0.044399999999999995
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z5Z6,1.0,0.9334,0.3588376234454798,0.06659999999999999
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z6Z7,1.0,0.9516,0.30733929133776566,0.0484
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z7Z8,1.0,0.946,0.3241666238217625,0.05400000000000005
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z8Z9,1.0,0.9568,0.29074690024142996,0.043200000000000016
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z9Z10,1.0,0.9476,0.31945929318146304,0.0524
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z10Z11,1.0,0.9556,0.29466699849151756,0.044399999999999995
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z11Z12,1.0,0.947,0.32123355989061936,0.05300000000000005
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z12Z13,1.0,0.9428,0.3333589056857489,0.05720000000000003
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z13Z14,1.0,0.9344,0.3562255465291618,0.06559999999999999
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z14Z15,1.0,0.9374,0.3482545620663137,0.06259999999999999
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z15Z16,1.0,0.9002,0.43547670431379,0.0998
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z16Z17,1.0,0.9276,0.37357494562671095,0.07240000000000002
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z17Z18,1.0,0.959,0.28340606909521193,0.041000000000000036
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z18Z19,1.0,0.9684,0.24940216518707278,0.03159999999999996
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z19Z20,1.0,0.9296,0.3685699933526874,0.07040000000000002
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z20Z21,1.0,0.9206,0.39050690134746663,0.07940000000000003
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z21Z22,1.0,0.959,0.28340606909521193,0.041000000000000036
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z22Z23,1.0,0.963,0.26950139146208524,0.03700000000000003
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z23Z24,1.0,0.957,0.2900879177077185,0.04300000000000004
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z24Z25,1.0,0.9758,0.21866494918024687,0.0242
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z25Z26,1.0,0.9694,0.24548653730907516,0.03059999999999996
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z26Z27,1.0,0.9346,0.3557004919872898,0.06540000000000001
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z27Z28,1.0,0.9274,0.37407116969902926,0.0726
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z28Z29,1.0,0.9646,0.26371734868984253,0.03539999999999999
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z29Z30,1.0,0.9554,0.29531481507029056,0.04459999999999997
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z30Z31,1.0,0.9586,0.2847561061680679,0.04139999999999999
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z31Z32,1.0,0.9694,0.24548653730907516,0.03059999999999996
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z32Z33,1.0,0.9732,0.2299603444074654,0.026800000000000046
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z33Z34,1.0,0.9604,0.27862490915207117,0.03959999999999997
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z34Z35,1.0,0.9688,0.24784382179106265,0.031200000000000006
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z35Z36,1.0,0.9604,0.27862490915207117,0.03959999999999997
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z36Z37,1.0,0.9736,0.22826090335403473,0.02639999999999998
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z37Z38,1.0,0.9714,0.23744902610876278,0.02859999999999996
Q-CTRL,2d258c03-4265-4ee9-b1a8-b974a14e047e,40,Z38Z39,1.0,0.9872,0.15948717816802715,0.012800000000000034
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1.0,1.1820420909729386,0.2496533416386982,0.18204209097293855
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z0Z1,1.0,0.9917486756907717,0.011930608268653806,0.008251324309228258
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z1Z2,1.0,1.0049580985939892,0.011986176068524942,0.004958098593989213
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z2Z3,1.0,1.0048659471955006,0.013857584844601655,0.004865947195500597
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z3Z4,1.0,1.002191621631178,0.015464538847606199,0.00219162163117792
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z4Z5,1.0,1.0120365786597583,0.011952852699214266,0.012036578659758268
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z5Z6,1.0,1.0068318800065286,0.013908188823324544,0.006831880006528568
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z6Z7,1.0,1.0073492802872495,0.013755714613891737,0.00734928028724946
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z7Z8,1.0,1.0241524443222025,0.01577878855576646,0.024152444322202538
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z8Z9,1.0,1.0092423378837692,0.01988049542083894,0.009242337883769158
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z9Z10,1.0,1.0280357341633188,0.024398774066390183,0.028035734163318837
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z10Z11,1.0,0.9693310058520501,0.031234272068573498,0.03066899414794988
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z11Z12,1.0,0.9853692944653274,0.018015519542633727,0.014630705534672606
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z12Z13,1.0,1.0319851663042026,0.009881843579587732,0.03198516630420256
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z13Z14,1.0,0.9635691237900579,0.031169470684886763,0.03643087620994212
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z14Z15,1.0,1.0063472809627314,0.03376593290615963,0.006347280962731405
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z15Z16,1.0,1.0074664345240107,0.019838023896356718,0.0074664345240107455
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z16Z17,1.0,1.0305120007577742,0.018878698226564513,0.03051200075777416
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z17Z18,1.0,0.9986064846485126,0.02097355934937726,0.001393515351487351
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z18Z19,1.0,0.9779221891582028,0.025324899554300322,0.022077810841797163
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z19Z20,1.0,1.0155292199177632,0.023853909644406025,0.015529219917763237
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z20Z21,1.0,1.026522356956698,0.009901847900158222,0.026522356956697912
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z21Z22,1.0,0.9987426381368293,0.016902367507944244,0.001257361863170714
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z22Z23,1.0,1.0122298508118994,0.013759291942618462,0.012229850811899423
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z23Z24,1.0,1.0033264294122084,0.02351803634480826,0.003326429412208398
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z24Z25,1.0,1.0333896741209425,0.02644898214012799,0.033389674120942514
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z25Z26,1.0,1.0358579100910603,0.03300298967919606,0.03585791009106032
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z26Z27,1.0,1.018314966507539,0.029836658273543037,0.018314966507539054
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z27Z28,1.0,0.9953148761826192,0.02102809487041605,0.004685123817380843
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z28Z29,1.0,1.0444728270434251,0.007038165113147851,0.044472827043425145
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z29Z30,1.0,0.9810014200908167,0.021759456863242956,0.0189985799091833
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z30Z31,1.0,0.9670878935016579,0.02459843413800106,0.032912106498342086
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z31Z32,1.0,1.0541766999457234,0.022375565689109454,0.05417669994572338
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z32Z33,1.0,1.001145348135381,0.030069503617395552,0.0011453481353809192
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z33Z34,1.0,1.012252383620507,0.024765199402184655,0.012252383620507068
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z34Z35,1.0,1.0009183823202972,0.024829106704877837,0.000918382320297173
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z35Z36,1.0,1.012967532729721,0.021324474516970268,0.012967532729720954
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z36Z37,1.0,0.9918173493448659,0.019603262176881547,0.008182650655134127
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z37Z38,1.0,1.018646784433956,0.017167359826581113,0.018646784433955954
QESEM,518b77c3-3b69-4c60-b390-9308f132a927,40,Z38Z39,1.0,0.9887660957467267,0.021965051359297702,0.011233904253273308
IBM default,d8rf4dmab0ds73drk25g,60,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1.0,0.2425253789459046,0.03226165767708981,0.7574746210540955
IBM default,d8rf4dmab0ds73drk25g,60,Z0Z1,1.0,0.9094862396719886,0.006336376513887847,0.0905137603280114
IBM default,d8rf4dmab0ds73drk25g,60,Z1Z2,1.0,0.9153340771042519,0.006800935956995398,0.08466592289574815
IBM default,d8rf4dmab0ds73drk25g,60,Z2Z3,1.0,0.9362549800796812,0.006065484884094153,0.06374501992031878
IBM default,d8rf4dmab0ds73drk25g,60,Z3Z4,1.0,0.9247945806937213,0.006685886672829144,0.07520541930627866
IBM default,d8rf4dmab0ds73drk25g,60,Z4Z5,1.0,0.9138989848351924,0.006467866673726325,0.08610101516480761
IBM default,d8rf4dmab0ds73drk25g,60,Z5Z6,1.0,0.9164009254048646,0.007701898268716213,0.08359907459513538
IBM default,d8rf4dmab0ds73drk25g,60,Z6Z7,1.0,0.9102642483526935,0.01039176142822153,0.08973575164730652
IBM default,d8rf4dmab0ds73drk25g,60,Z7Z8,1.0,0.9709318120076066,0.008085072875402019,0.029068187992393413
IBM default,d8rf4dmab0ds73drk25g,60,Z8Z9,1.0,0.9390622033791053,0.008300249053508638,0.06093779662089471
IBM default,d8rf4dmab0ds73drk25g,60,Z9Z10,1.0,0.9582827572989203,0.007334966175413399,0.04171724270107968
IBM default,d8rf4dmab0ds73drk25g,60,Z10Z11,1.0,0.9312543400037876,0.006442422927871921,0.0687456599962124
IBM default,d8rf4dmab0ds73drk25g,60,Z11Z12,1.0,0.9143859209619841,0.0067657531586461485,0.08561407903801588
IBM default,d8rf4dmab0ds73drk25g,60,Z12Z13,1.0,0.9405796182383157,0.006810569449283068,0.05942038176168429
IBM default,d8rf4dmab0ds73drk25g,60,Z13Z14,1.0,0.9579238131945783,0.0076124605000295375,0.04207618680542169
IBM default,d8rf4dmab0ds73drk25g,60,Z14Z15,1.0,0.9563499649525266,0.005611455792878266,0.043650035047473446
IBM default,d8rf4dmab0ds73drk25g,60,Z15Z16,1.0,0.9419709854927464,0.006888001069381774,0.05802901450725362
IBM default,d8rf4dmab0ds73drk25g,60,Z16Z17,1.0,0.9411177021542304,0.006561746104507579,0.05888229784576959
IBM default,d8rf4dmab0ds73drk25g,60,Z17Z18,1.0,0.9482737130749096,0.006356969507398844,0.0517262869250904
IBM default,d8rf4dmab0ds73drk25g,60,Z18Z19,1.0,0.9469043035459231,0.0047594030142125675,0.05309569645407686
IBM default,d8rf4dmab0ds73drk25g,60,Z19Z20,1.0,0.9611977542108546,0.0054653829658971136,0.03880224578914537
IBM default,d8rf4dmab0ds73drk25g,60,Z20Z21,1.0,0.9363286583095445,0.006615133125377594,0.06367134169045552
IBM default,d8rf4dmab0ds73drk25g,60,Z21Z22,1.0,0.9326335288669343,0.00678307645008525,0.06736647113306571
IBM default,d8rf4dmab0ds73drk25g,60,Z22Z23,1.0,0.9530757341576507,0.0054273534496561,0.04692426584234932
IBM default,d8rf4dmab0ds73drk25g,60,Z23Z24,1.0,0.9379173880781598,0.005871840171971001,0.06208261192184017
IBM default,d8rf4dmab0ds73drk25g,60,Z24Z25,1.0,0.9483974755599555,0.005158310858049951,0.05160252444004454
